# L/ctau      LLPfraction
1.518987e-04  9.998645e-01
1.704332e-04  9.998480e-01
1.912292e-04  9.998294e-01
2.145627e-04  9.998086e-01
2.407433e-04  9.997853e-01
2.701184e-04  9.997591e-01
3.030778e-04  9.997297e-01
3.400589e-04  9.996967e-01
3.815524e-04  9.996597e-01
4.281088e-04  9.996181e-01
4.803460e-04  9.995716e-01
5.389570e-04  9.995193e-01
5.569620e-04  9.995032e-01
6.047198e-04  9.994606e-01
6.249217e-04  9.994426e-01
6.785067e-04  9.993948e-01
7.011736e-04  9.993746e-01
7.612971e-04  9.993210e-01
7.867298e-04  9.992983e-01
8.541894e-04  9.992382e-01
8.827253e-04  9.992127e-01
9.584162e-04  9.991452e-01
9.904341e-04  9.991167e-01
1.075361e-03  9.990410e-01
1.111285e-03  9.990089e-01
1.206575e-03  9.989240e-01
1.246883e-03  9.988880e-01
1.353799e-03  9.987927e-01
1.399025e-03  9.987524e-01
1.518987e-03  9.986454e-01
1.569732e-03  9.986002e-01
1.704332e-03  9.984802e-01
1.761269e-03  9.984295e-01
1.912292e-03  9.982949e-01
1.976176e-03  9.982379e-01
2.145627e-03  9.980869e-01
2.217306e-03  9.980230e-01
2.407433e-03  9.978536e-01
2.487858e-03  9.977819e-01
2.701184e-03  9.975918e-01
2.791423e-03  9.975114e-01
3.030778e-03  9.972982e-01
3.132028e-03  9.972080e-01
3.400589e-03  9.969688e-01
3.514193e-03  9.968676e-01
3.815524e-03  9.965992e-01
3.942989e-03  9.964857e-01
4.281088e-03  9.961846e-01
4.424107e-03  9.960573e-01
4.803460e-03  9.957196e-01
4.963929e-03  9.955767e-01
5.389570e-03  9.951979e-01
5.569620e-03  9.950377e-01
6.047198e-03  9.946127e-01
6.249217e-03  9.944330e-01
6.785067e-03  9.939563e-01
7.011736e-03  9.937548e-01
7.612971e-03  9.932201e-01
7.867298e-03  9.929940e-01
8.541894e-03  9.923944e-01
8.827253e-03  9.921408e-01
9.584162e-03  9.914684e-01
9.904341e-03  9.911840e-01
1.075361e-02  9.904298e-01
1.111285e-02  9.901109e-01
1.206575e-02  9.892652e-01
1.246883e-02  9.889076e-01
1.353799e-02  9.879594e-01
1.399025e-02  9.875584e-01
1.518987e-02  9.864952e-01
1.569732e-02  9.860456e-01
1.704332e-02  9.848536e-01
1.761269e-02  9.843497e-01
1.912292e-02  9.830135e-01
1.976176e-02  9.824486e-01
2.145627e-02  9.809509e-01
2.217306e-02  9.803178e-01
2.407433e-02  9.786394e-01
2.487858e-02  9.779298e-01
2.701184e-02  9.760491e-01
2.791423e-02  9.752542e-01
3.030778e-02  9.731472e-01
3.132028e-02  9.722567e-01
3.400589e-02  9.698966e-01
3.514193e-02  9.688993e-01
3.815524e-02  9.662564e-01
3.942989e-02  9.651397e-01
4.281088e-02  9.621810e-01
4.424107e-02  9.609309e-01
4.803460e-02  9.576195e-01
4.963929e-02  9.562207e-01
5.389570e-02  9.525160e-01
5.569620e-02  9.509513e-01
6.047198e-02  9.468081e-01
6.249217e-02  9.450586e-01
6.785067e-02  9.404273e-01
7.011736e-02  9.384723e-01
7.612971e-02  9.332982e-01
7.867298e-02  9.311146e-01
8.541894e-02  9.253377e-01
8.827253e-02  9.229006e-01
9.584162e-02  9.164553e-01
9.904341e-02  9.137374e-01
1.075361e-01  9.065525e-01
1.111285e-01  9.035241e-01
1.206575e-01  8.955228e-01
1.246883e-01  8.921520e-01
1.353799e-01  8.832515e-01
1.399025e-01  8.795043e-01
1.518987e-01  8.696168e-01
1.569732e-01  8.654572e-01
1.704332e-01  8.544903e-01
1.761269e-01  8.498805e-01
1.912292e-01  8.377383e-01
1.976176e-01  8.326396e-01
2.145627e-01  8.192246e-01
2.217306e-01  8.135979e-01
2.407433e-01  7.988127e-01
2.487858e-01  7.926197e-01
2.701184e-01  7.763709e-01
2.791423e-01  7.695755e-01
3.030778e-01  7.517770e-01
