# L/ctau      LLPfraction
1.518987e-04  9.998383e-01
1.704332e-04  9.998186e-01
1.912292e-04  9.997964e-01
2.145627e-04  9.997716e-01
2.407433e-04  9.997437e-01
2.701184e-04  9.997124e-01
3.030778e-04  9.996774e-01
3.400589e-04  9.996380e-01
3.815524e-04  9.995938e-01
4.281088e-04  9.995443e-01
4.803460e-04  9.994887e-01
5.389570e-04  9.994263e-01
5.569620e-04  9.994072e-01
6.047198e-04  9.993563e-01
6.249217e-04  9.993348e-01
6.785067e-04  9.992778e-01
7.011736e-04  9.992537e-01
7.612971e-04  9.991897e-01
7.867298e-04  9.991627e-01
8.541894e-04  9.990909e-01
8.827253e-04  9.990606e-01
9.584162e-04  9.989800e-01
9.904341e-04  9.989460e-01
1.075361e-03  9.988557e-01
1.111285e-03  9.988174e-01
1.206575e-03  9.987161e-01
1.246883e-03  9.986732e-01
1.353799e-03  9.985595e-01
1.399025e-03  9.985115e-01
1.518987e-03  9.983839e-01
1.569732e-03  9.983300e-01
1.704332e-03  9.981869e-01
1.761269e-03  9.981264e-01
1.912292e-03  9.979658e-01
1.976176e-03  9.978979e-01
2.145627e-03  9.977179e-01
2.217306e-03  9.976417e-01
2.407433e-03  9.974397e-01
2.487858e-03  9.973543e-01
2.701184e-03  9.971277e-01
2.791423e-03  9.970319e-01
3.030778e-03  9.967778e-01
3.132028e-03  9.966703e-01
3.400589e-03  9.963852e-01
3.514193e-03  9.962647e-01
3.815524e-03  9.959450e-01
3.942989e-03  9.958098e-01
4.281088e-03  9.954512e-01
4.424107e-03  9.952995e-01
4.803460e-03  9.948974e-01
4.963929e-03  9.947273e-01
5.389570e-03  9.942764e-01
5.569620e-03  9.940857e-01
6.047198e-03  9.935800e-01
6.249217e-03  9.933661e-01
6.785067e-03  9.927991e-01
7.011736e-03  9.925594e-01
7.612971e-03  9.919237e-01
7.867298e-03  9.916549e-01
8.541894e-03  9.909422e-01
8.827253e-03  9.906409e-01
9.584162e-03  9.898420e-01
9.904341e-03  9.895042e-01
1.075361e-02  9.886088e-01
1.111285e-02  9.882303e-01
1.206575e-02  9.872269e-01
1.246883e-02  9.868027e-01
1.353799e-02  9.856783e-01
1.399025e-02  9.852030e-01
1.518987e-02  9.839434e-01
1.569732e-02  9.834110e-01
1.704332e-02  9.820000e-01
1.761269e-02  9.814037e-01
1.912292e-02  9.798236e-01
1.976176e-02  9.791559e-01
2.145627e-02  9.773867e-01
2.217306e-02  9.766392e-01
2.407433e-02  9.746590e-01
2.487858e-02  9.738225e-01
2.701184e-02  9.716066e-01
2.791423e-02  9.706706e-01
3.030778e-02  9.681919e-01
